phase,total_norm,mean_norm,max_norm,total_drift,mean_drift,max_drift
-1,410.40966987609863,12.825302183628082,13.022902488708496,0.0,0.0,0.0
0,411.88313388824463,12.871347934007645,13.080805778503418,35.686419904232025,1.1152006220072508,1.4379338026046753
1,413.16199016571045,12.911312192678452,13.11441421508789,51.36972796916962,1.6053039990365505,2.021747589111328
2,414.2361660003662,12.944880187511444,13.14503288269043,62.04220008850098,1.9388187527656555,2.4218392372131348
3,415.4095764160156,12.981549263000488,13.248509407043457,71.59345471858978,2.2372954599559307,3.0316178798675537
4,416.85471630096436,13.026709884405136,13.403855323791504,80.48931956291199,2.5152912363409996,3.7720608711242676
