phase,total_norm,mean_norm,max_norm,total_drift,mean_drift,max_drift
-1,410.40966987609863,12.825302183628082,13.022902488708496,0.0,0.0,0.0
0,411.96609592437744,12.873940497636795,13.074774742126465,36.274615705013275,1.1335817407816648,1.3946937322616577
1,413.5185213088989,12.922453790903091,13.128799438476562,54.645203828811646,1.707662619650364,2.285646677017212
2,414.55486488342285,12.954839527606964,13.179306030273438,66.04488384723663,2.063902620226145,2.797708034515381
3,415.58563137054443,12.987050980329514,13.247710227966309,73.4666393995285,2.2958324812352657,3.225985527038574
4,415.7340421676636,12.991688817739487,13.306142807006836,75.52108669281006,2.3600339591503143,3.444819688796997
