phase,total_norm,mean_norm,max_norm,total_drift,mean_drift,max_drift
-1,410.40966987609863,12.825302183628082,13.022902488708496,0.0,0.0,0.0
0,410.41129970550537,12.825353115797043,13.023120880126953,0.19728213734924793,0.006165066792163998,0.0062879957258701324
1,410.4128589630127,12.825401842594147,13.023314476013184,0.37363273557275534,0.011676022986648604,0.012401602230966091
2,410.41446113586426,12.825451910495758,13.023517608642578,0.5499482043087482,0.017185881384648383,0.018517667427659035
3,410.4163589477539,12.82551121711731,13.023706436157227,0.7216123063117266,0.022550384572241455,0.024589963257312775
4,410.4183769226074,12.825574278831482,13.023894309997559,0.89272740483284,0.02789773140102625,0.030685484409332275
-1,410.40966987609863,12.825302183628082,13.022902488708496,0.0,0.0,0.0
0,410.41129970550537,12.825353115797043,13.023120880126953,0.19728213734924793,0.006165066792163998,0.0062879957258701324
1,410.4128589630127,12.825401842594147,13.023314476013184,0.37363273557275534,0.011676022986648604,0.012401602230966091
2,410.41446113586426,12.825451910495758,13.023517608642578,0.5499482043087482,0.017185881384648383,0.018517667427659035
3,410.4163589477539,12.82551121711731,13.023706436157227,0.7216123063117266,0.022550384572241455,0.024589963257312775
4,410.4183769226074,12.825574278831482,13.023894309997559,0.89272740483284,0.02789773140102625,0.030685484409332275
5,410.4204406738281,12.825638771057129,13.024084091186523,1.0637992843985558,0.03324372763745487,0.0367962084710598
6,410.4223852157593,12.825699537992477,13.024266242980957,1.2334291897714138,0.03854466218035668,0.04290342330932617
7,410.42449855804443,12.825765579938889,13.024454116821289,1.404141340404749,0.043879416887648404,0.04904412478208542
8,410.426700592041,12.825834393501282,13.024628639221191,1.5745779238641262,0.049205560120753944,0.05519803240895271
9,410.4290590286255,12.825908094644547,13.024801254272461,1.7443960644304752,0.05451237701345235,0.061381615698337555
-1,102.68523788452148,25.67130947113037,25.78536033630371,0.0,0.0,0.0
-1,102.68523788452148,25.67130947113037,25.78536033630371,0.0,0.0,0.0
0,102.6818962097168,25.6704740524292,25.784059524536133,0.25600774586200714,0.06400193646550179,0.06400458514690399
1,102.67806243896484,25.66951560974121,25.783123016357422,0.41057566553354263,0.10264391638338566,0.10742116719484329
2,102.6755199432373,25.668879985809326,25.781875610351562,0.5440412610769272,0.1360103152692318,0.14142003655433655
3,102.67253684997559,25.668134212493896,25.780500411987305,0.660540297627449,0.16513507440686226,0.17498454451560974
4,102.67055320739746,25.667638301849365,25.78006362915039,0.7607917487621307,0.19019793719053268,0.20433147251605988
5,102.66830062866211,25.667075157165527,25.77953338623047,0.8508064150810242,0.21270160377025604,0.22824238240718842
6,102.6663932800293,25.666598320007324,25.778833389282227,0.9386102557182312,0.2346525639295578,0.25264668464660645
7,102.66431427001953,25.666078567504883,25.777925491333008,1.0279673784971237,0.25699184462428093,0.27774855494499207
8,102.66256713867188,25.66564178466797,25.777332305908203,1.113303780555725,0.2783259451389313,0.30430036783218384
9,102.66095733642578,25.665239334106445,25.776824951171875,1.191132128238678,0.2977830320596695,0.3285510838031769
-1,64.17827415466309,16.04456853866577,16.1158504486084,0.0,0.0,0.0
0,64.17970848083496,16.04492712020874,16.116626739501953,0.25599081069231033,0.06399770267307758,0.06400097906589508
1,64.1803560256958,16.04508900642395,16.117225646972656,0.42131343483924866,0.10532835870981216,0.10923147946596146
2,64.18005466461182,16.045013666152954,16.11725425720215,0.557835727930069,0.13945893198251724,0.14932601153850555
3,64.18038177490234,16.045095443725586,16.117599487304688,0.6823562532663345,0.17058906331658363,0.18705877661705017
4,64.18030548095703,16.045076370239258,16.117839813232422,0.7937096208333969,0.19842740520834923,0.2205113172531128
5,64.17962265014648,16.04490566253662,16.118141174316406,0.89657062292099,0.2241426557302475,0.2526335120201111
6,64.17873096466064,16.04468274116516,16.118350982666016,0.9922544956207275,0.24806362390518188,0.2821405529975891
7,64.17751884460449,16.044379711151123,16.118404388427734,1.0806877613067627,0.2701719403266907,0.30818432569503784
8,64.1761703491211,16.044042587280273,16.118385314941406,1.1665169447660446,0.29162923619151115,0.33314812183380127
9,64.17512798309326,16.043781995773315,16.118276596069336,1.2437684237957,0.310942105948925,0.35534369945526123
