phase,total_norm,mean_norm,max_norm,total_drift,mean_drift,max_drift
-1,25.67130947113037,6.417827367782593,6.446340084075928,0.0,0.0,0.0
0,25.672184467315674,6.4180461168289185,6.446895122528076,0.2559976875782013,0.06399942189455032,0.06400119513273239
1,25.67462396621704,6.41865599155426,6.447640419006348,0.4434845969080925,0.11087114922702312,0.11509647220373154
2,25.677774906158447,6.419443726539612,6.448873996734619,0.57773557305336,0.14443389326334,0.15131469070911407
3,25.681554317474365,6.420388579368591,6.450205326080322,0.7018992304801941,0.17547480762004852,0.18673011660575867
4,25.685903549194336,6.421475887298584,6.4515533447265625,0.8190387934446335,0.20475969836115837,0.22261793911457062
5,25.690730571746826,6.4226826429367065,6.45287561416626,0.9293655753135681,0.23234139382839203,0.25785836577415466
6,25.695573806762695,6.423893451690674,6.454155921936035,1.0286079198122025,0.2571519799530506,0.2895811200141907
7,25.700745105743408,6.425186276435852,6.455521106719971,1.11900594830513,0.2797514870762825,0.3188348412513733
8,25.705716133117676,6.426429033279419,6.456902503967285,1.2056991159915924,0.3014247789978981,0.3472966253757477
9,25.711297035217285,6.427824258804321,6.458569049835205,1.2932690680027008,0.3233172670006752,0.37751561403274536
10,25.71677303314209,6.4291932582855225,6.460113525390625,1.376694768667221,0.34417369216680527,0.40587249398231506
11,25.72175931930542,6.430439829826355,6.461363792419434,1.4503585994243622,0.36258964985609055,0.4305029809474945
12,25.727080821990967,6.431770205497742,6.462707996368408,1.5287334322929382,0.38218335807323456,0.4558922052383423
13,25.732585906982422,6.4331464767456055,6.464218616485596,1.6084917485713959,0.40212293714284897,0.4820989668369293
14,25.738367557525635,6.434591889381409,6.465921878814697,1.6844628155231476,0.4211157038807869,0.5072933435440063
15,25.744327545166016,6.436081886291504,6.4676008224487305,1.759267657995224,0.439816914498806,0.5316312909126282
16,25.75034809112549,6.437587022781372,6.469212532043457,1.83150252699852,0.45787563174963,0.5548830032348633
17,25.755950450897217,6.438987612724304,6.47069787979126,1.8963667154312134,0.47409167885780334,0.5756054520606995
18,25.760961532592773,6.440240383148193,6.471976280212402,1.9533773958683014,0.48834434896707535,0.5929461121559143
19,25.76616144180298,6.441540360450745,6.473195552825928,2.0086305737495422,0.5021576434373856,0.609394371509552
20,25.771804809570312,6.442951202392578,6.474521160125732,2.0658410787582397,0.5164602696895599,0.6265276074409485
21,25.777743816375732,6.444435954093933,6.4758381843566895,2.1249696016311646,0.5312424004077911,0.6442695260047913
22,25.783719539642334,6.4459298849105835,6.4770426750183105,2.1831181943416595,0.5457795485854149,0.6614338755607605
23,25.790297985076904,6.447574496269226,6.478273391723633,2.243711918592453,0.5609279796481133,0.679705798625946
24,25.79709768295288,6.44927442073822,6.479628562927246,2.305941343307495,0.5764853358268738,0.6985033750534058
25,25.803913116455078,6.4509782791137695,6.480971813201904,2.368894726037979,0.5922236815094948,0.7174551486968994
26,25.81055450439453,6.452638626098633,6.4824347496032715,2.42783722281456,0.60695930570364,0.7345302104949951
