phase,mean_sycophancy,std_sycophancy,mean_reward,std_reward,num_rollouts,batch_size_per_rollout
0,0.2949930826822917,0.25225202666098256,0.2949930826822917,0.25225202666098256,8,3
1,0.11543782552083333,0.2010118121379279,0.11543782552083333,0.2010118121379279,8,3
2,0.217041015625,0.25771807858527007,0.217041015625,0.25771807858527007,8,3
3,0.32861328125,0.229883690602525,0.32861328125,0.229883690602525,8,3
4,0.09871419270833333,0.16025321113621124,0.09871419270833333,0.16025321113621124,8,3
5,0.24357096354166666,0.27846574757300796,0.24357096354166666,0.27846574757300796,8,3
