phase,total_norm,mean_norm,max_norm,total_drift,mean_drift,max_drift
-1,203.4375,6.357421875,6.5,0.0,0.0,0.0
0,203.625,6.36328125,6.5,11.505859375,0.35955810546875,0.4296875
1,203.8125,6.369140625,6.5,16.9765625,0.530517578125,0.68359375
2,203.96875,6.3740234375,6.5,20.39453125,0.6373291015625,0.76171875
3,204.21875,6.3818359375,6.53125,23.60546875,0.7376708984375,0.8515625
4,204.375,6.38671875,6.53125,25.8359375,0.807373046875,0.8984375
5,204.53125,6.3916015625,6.53125,27.9609375,0.873779296875,0.9609375
6,204.6875,6.396484375,6.5625,29.7421875,0.929443359375,1.03125
7,204.875,6.40234375,6.5625,31.390625,0.98095703125,1.078125
8,205.09375,6.4091796875,6.5625,33.43359375,1.0447998046875,1.171875
9,205.34375,6.4169921875,6.5625,35.60546875,1.1126708984375,1.2578125
10,205.4375,6.419921875,6.5625,37.0703125,1.158447265625,1.34375
11,205.78125,6.4306640625,6.5625,39.2421875,1.226318359375,1.5078125
12,205.96875,6.4365234375,6.5625,41.1875,1.287109375,1.6953125
13,206.375,6.44921875,6.5625,43.75,1.3671875,1.90625
14,206.6875,6.458984375,6.59375,45.984375,1.43701171875,1.9296875
15,206.875,6.46484375,6.59375,46.859375,1.46435546875,1.984375
16,207.15625,6.4736328125,6.625,48.7265625,1.522705078125,2.21875
17,207.53125,6.4853515625,6.625,50.78125,1.5869140625,2.28125
18,207.59375,6.4873046875,6.625,51.734375,1.61669921875,2.234375
19,208.03125,6.5009765625,6.71875,53.40625,1.6689453125,2.5
20,208.6875,6.521484375,6.84375,55.625,1.73828125,2.828125
21,208.84375,6.5263671875,6.875,57.1328125,1.785400390625,2.9375
22,208.9375,6.529296875,6.875,57.84375,1.8076171875,2.9375
23,209.0625,6.533203125,6.875,58.296875,1.82177734375,2.96875
24,209.09375,6.5341796875,6.875,58.5625,1.830078125,2.984375
25,209.125,6.53515625,6.875,58.7734375,1.836669921875,3.0
26,209.125,6.53515625,6.875,58.8984375,1.840576171875,3.0
27,209.125,6.53515625,6.875,59.015625,1.84423828125,3.0
28,209.15625,6.5361328125,6.875,59.171875,1.84912109375,3.0
29,209.25,6.5390625,6.875,59.25,1.8515625,3.0
30,209.25,6.5390625,6.875,59.328125,1.85400390625,2.984375
31,209.25,6.5390625,6.875,59.4375,1.857421875,3.0
32,209.28125,6.5400390625,6.875,59.4609375,1.858154296875,3.0
33,209.28125,6.5400390625,6.875,59.546875,1.86083984375,3.0
34,209.28125,6.5400390625,6.875,59.6328125,1.863525390625,3.0
35,209.28125,6.5400390625,6.875,59.671875,1.86474609375,3.0
36,209.3125,6.541015625,6.90625,59.796875,1.86865234375,3.015625
37,209.3125,6.541015625,6.90625,59.828125,1.86962890625,3.015625
38,209.3125,6.541015625,6.90625,59.84375,1.8701171875,3.015625
39,209.3125,6.541015625,6.90625,59.875,1.87109375,3.015625
40,209.3125,6.541015625,6.90625,59.9296875,1.872802734375,3.015625
41,209.3125,6.541015625,6.90625,59.9375,1.873046875,3.015625
42,209.3125,6.541015625,6.90625,59.9609375,1.873779296875,3.015625
43,209.3125,6.541015625,6.90625,59.984375,1.87451171875,3.03125
44,209.3125,6.541015625,6.90625,59.9921875,1.874755859375,3.03125
45,209.3125,6.541015625,6.90625,60.0078125,1.875244140625,3.03125
46,209.3125,6.541015625,6.90625,60.0078125,1.875244140625,3.03125
47,209.3125,6.541015625,6.90625,60.03125,1.8759765625,3.03125
48,209.3125,6.541015625,6.90625,60.0703125,1.877197265625,3.03125
49,209.3125,6.541015625,6.90625,60.1015625,1.878173828125,3.03125
